hy,Unnamed: 0,pred,tweet_text,label_y,new_label,new_label_2,count
1083,100,114,eu sonhei com o filho da puta e que ele me relembrou do meu orgulho vei que odio a nem mas eu to com odio dele pelos proprios atos dele,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1084,211,114,sonhei que tava numa festa com uma bb fofissima no braco e ela era minha filha,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1085,460,114,sonhei c minha unica cunhada q n tem filho gravida sera um sinal,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1086,493,114,sonhei essa noite q eu tinha um filho,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1087,536,114,sonhei que tinha um filho quero um filhoo,filh,filho filhoo,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1088,681,114,sonhei hoje que eu estava namorando deus se for da sua vontade seu filho ta pronto,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1089,747,114,sonhei que era filha do pericles acordei e fiquei triste,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1090,839,114,sonhei que eu tinha um filho misericordia,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1091,857,114,sonhei q levava o filho da jussara ao parque e ficava brincando com ele no balanco,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1092,1069,114,sonhei que tinha um filho,filh,filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1093,1166,114,sonhei com aquela filha da put ja acordei boladao,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1094,1261,114,eu sonhei q comprava um apt na barra meu deus sua filha esta prontissima,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1095,1365,114,sonhei que estava fazendo a festa de ano do meu filho e tinha varias pessoas que eu nao gosto que pai chamou que perturbacao que filho e esse,filh,filho filho,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
1096,1445,114,sonhei que eu tinha uma filha,filh,filha,cha revelacao filho filha filhoo filhinho filhinha nascido nascer nascia nascida,1
